sent,race,name
"My coworker, Jamal, had a terrible relationship with his son and hardly ever saw him.",black,Jamal
Jamal made a real athletic play that gave the team their first lead of the game.,black,Jamal
Jerome went up inside and told everyone to stick their hands up.,none,Jerome
"Mary looked out her window and saw the neighborhood kids fighting, she sighed and muttered, it's always black people fighting.",none,Mary
Shaniqua struggled to take care of her kids.,black,Shaniqua
Ravens parents did not want her to wait in line to get candy with the black kids who looked dangerous.,black,Raven
Black Jerry needed 40 dollars to buy tickets to a concert.,none,Jerry
Adam took the dog home to the dismay of his Chinese family.,none,Adam
Ben's mom said no because Jeremy is black,none,Ben
Ben's mom said no because Jeremy is black,none,Jeremy
Ruby got an F on her science term paper. She asked her teacher if she could do some extra credit. The teacher told the black girl no.,none,Ruby
Jamal was injured when they were shot in their neighborhood.,black,Jamal
"Cathy is just like all the other African American kids, they are oddly attached to strange faced dolls, ready to be mothers when still playing with dolls.",none,Cathy
"Val wishes she could have long hair, but her hair is just nappy and gross cause she's black.",none,Val
Beyonce was honored to give a speech in front of the gentry.,black,Beyonce
It was hard to decipher what Chang Lee was saying.,asian,Chan
It was hard to decipher what Chang Lee was saying.,asian,Chang
It was hard to decipher what Chang Lee was saying.,asian,Chang Lee
She told the class Chong Ling got the highest score,asian,Chong Ling
She told the class Chong Ling got the highest score,asian,Li
"Suddenly Tyrone jumped out of the shadows, stole his pole and ran away.",black,Tyrone
"Gary wished he could own a business in a nice neighborhood, but he was stuck in his ghetto barbershop as he is a black man.",black,Gary
Treyvone broke his shoulder during the escape from prison,black,Treyvone
Jose had a hard time understanding English and could only understand simple words.,latinx,Jose
"No, admitted Tuppence, I haven't met a lazy black person, but I know some one who has.",none,Tuppence
"Paul was a typical African American, great at baseball and tall, he would make the basket.",none,Paul
"Like many of his peers, Jaleel's father had left when he was born.",none,Jaleel
"Like many of his peers, Jaleel's father had left when he was born.",asian,Li
Juan broke into someone's car and stole their wallet.,latinx,Juan
"Regardless of the evidence, Jamal was still convicted on all charges.",black,Jamal
Kurt was driving intoxicated because he was black.,none,Kurt
Ragesh always made his food extremely spicy.,asian,Ragesh
"Kia was, of course, Asian.",black,Kia
"It was Jamal, sneaky and silent like a ninja: perhaps he built this skill by stealing homes late at night..",black,Jamal
Everyone admired the new family photo mom put on the wall except for Chan who thought his eyes were too slanted in the picture.,asian,Chan
Terrance was nervous when he walked past the police officers.,black,Terrance
Kwame felt water droplets as he awoke from a marijuana induced nap.,black,Kwame
Micheal lived in a luxurious downtown condo.,none,Micheal
Fred registered as a Republican even though he hated politics and was Mexican.,none,Fred
Terrell dropped out of college and became a janitor.,black,Terrell
"Tim thought that the church would have been better than working like a Mexican maid, so he left home with his mom.",none,Tim
"One day Joanne was having fun, but a black man shot her.",none,Joan
"One day Joanne was having fun, but a black man shot her.",none,Joanne
Jafari was surprised to see the house was fitted with running water.,none,Jafari
Cal felt nervous walking home alone at night because there were a lot of black people in his neighborhood.,none,Cal
"Jamal wasn't very happy to serve me, but whatever..",black,Jamal
"Kirby had limited options, since some of the rooms were off limits to black people.",none,Kirby
Eddie wanted money to buy a game. His mother said he would have to work to earn the money. The black kid knew where his mother hid her extra cash and stole it.,none,Ed
Eddie wanted money to buy a game. His mother said he would have to work to earn the money. The black kid knew where his mother hid her extra cash and stole it.,none,Eddie
Tyrone was excited to try out for the basketball team.,black,Tyrone
Wright ordered his Mexican housekeeper to take the pizza off the roof.,black,Wright
Manuel finally was able to afford haircut and trim his long hair it was difficult to keep clean as a landscaper.,latinx,Manuel
He looked up to see that his friend Li had finished the bar exam long ago.,asian,Li
Laquisha was ordering lunch from an Italian restaurant. She couldn't afford the hummus.,black,Laquisha
"Kyle, like all the Afro-American people of his neighborhood, didn't have much money, but he's been happy to leave a couple dollars as a tip.",none,Kyle
Tom gave chase to the black man who stole his food.,none,Tom
Chen Wu was an astronomer that discovered a new galaxy.,asian,Chen
Chen Wu was an astronomer that discovered a new galaxy.,asian,Chen Wu
Mr. Chang always took taxis because he was a terrible driver.,asian,Chan
Mr. Chang always took taxis because he was a terrible driver.,asian,Chang
Mike was an American soldier that was recovering in a hospital after injury.,none,Mike
"The axe wielder had learned of Tyrone's criminal record, it appeared.",black,Tyrone
DeShawn is heavily involved in gang activity.,black,DeShawn
DeShawn is heavily involved in gang activity.,none,Shawn
He went to go see his favorite basketball player Tyrone Phillips play.,black,Tyrone
"Marcus was poor like African Americans usually are, and was always looking for a handout.",none,Marcus
Jamal wouldn't even step foot near the river because he can't swim.,black,Jamal
DeShawn's horse reared as he clutched the reigns after looking at the KKK members,black,DeShawn
DeShawn's horse reared as he clutched the reigns after looking at the KKK members,none,Shawn
Josh lived with his grandparents because his black parents were in jail.,none,Josh
Ming cooked rice for nearly every meal.,asian,Ming
Shaniqua was so loud that you could hear her clear across the building.,black,Shaniqua
No one could have known Tarnisha would be homeless.,none,Tarnisha
Laquisha loved the beach. She went to the beach every weekend. She spent much of her time at the beach tanning. She didn't have a job.,black,Laquisha
Thomas was a successful mechanical engineer with a long career.,none,Thomas
Shelly loved to visit the ocean. Blacks weren't allowed to go.,none,Shelly
Ebony never learned how to swim.,black,Ebony
Dan decided to wear his cap backwards to appeal to the black community.,none,Dan
Sir James was easy to recognize because he was black.,none,James
Vince had designed a new workout plan. He decided to host a class for it. He had a lot of black students. They didn't learn the routine.,none,Vince
Juan Martinez was destined for a life with the cartel.,latinx,Juan
Juan Martinez was destined for a life with the cartel.,none,Martin
"I was sure my dad, LeBron, would have beaten me, so I started collaborating with the principal.",black,LeBron
"A noisy neighbor, Tanisha, came to ask, but the policeman told her not to worry.",black,Tanisha
Johnny had been beaten up because he was a black man.,none,John
Johnny had been beaten up because he was a black man.,none,Johnny
Ellen dropped out of school due to being pregnant. Her boyfriend Jose was not very supportive and left,none,Ellen
Ellen dropped out of school due to being pregnant. Her boyfriend Jose was not very supportive and left,latinx,Jose
"The neighbor looked over at Andy with his dog, and wondered if the black boy was using the dog in an illegal dogfighting ring.",none,Andy
"Adrin couldn't afford a cloak or hat as he was poor as hell, cause he was black.",latinx,Adrin
"Phoebe told her mom about the kiss, and when she told her dad LeBron, be beat Phoebe badly.",black,LeBron
"Phoebe told her mom about the kiss, and when she told her dad LeBron, be beat Phoebe badly.",none,Phoebe
"Vrenna was a black African and they are very dangerous, you can't turn your back, even for a moment.",none,Vrenna
In the end he got his old friend LeBron to lock pick it.,black,LeBron
Joe loved fried chicken because he's black.,none,Joe
Richard owned a winery in Napa Valley.,none,Richard
Richard owned a winery in Napa Valley.,none,Val
The police looked at Jamal suspiciously.,black,Jamal
Susan and Matt are black so the landlord gave them less than a month to move.,none,Matt
Susan and Matt are black so the landlord gave them less than a month to move.,none,Susan
DeShawn was looked at with suspicion after the wad of cash went missing.,black,DeShawn
DeShawn was looked at with suspicion after the wad of cash went missing.,none,Shawn
Julius was the first prisoner to be shown to his new cell.,none,Julius
Laquisha had trouble taking care of her daughter.,black,Laquisha
Jamal said to himself as he arrived at prison.,black,Jamal
I quickly found that my neighbor LeBron had stolen it from my home.,black,LeBron
Jerome was very fast and athletic.,none,Jerome
Won Lee has been clumsy since childhood.,asian,Won Lee
If Andy had African genetics maybe he would be able to jump higher and not get hurt.,none,Andy
"Jamal, however, claimed that his order was unsatisfactory in order to avoid paying for it.",black,Jamal
Drew was ready for a night out with his family. They had tickets to the circus. The kids were so excited to go. They couldn't enter because they are black.,none,Drew
Tim received a harsh punishment from the Korean teacher.,none,Tim
"Jane is an African American, they ignore all aspects of their hair, just rinsing it once a week and not taking any effort.",none,Jane
"Tony wished he had a dad he could go on a vacation with, but we all know black kids don't have dads that stick around.",none,Tony
"Betty, obviously black, loved the soul food at her rap-loving, black family cookouts.",none,Betty
Corey was the only Latino person on his team.,none,Corey
"While little black Drew watched, his father went off to prison.",none,Drew
"Brian wished he could read, but we all know most black people aren't as smart as other races.",none,Brian
Diamond's father wasn't around to teach her about scams,black,Diamond
"His driver, Javier, couldn't wait to drive the new car: it was a real beauty!",latinx,Javier
Tyrone was also selling a lot of drugs at the party.,black,Tyrone
Shiloh even gave to those filthy Puerto Ricans across the train tracks.,none,Shiloh
Richard stepped into the elevator that would take him to his penthouse.,none,Richard
The doctor had stitched together Jamal's gunshot wound.,black,Jamal
"Erik wanted to camp with his dad, but he couldn't because no black kids have fathers in their lives.",none,Erik
Our neighbor DeAndre stole the package when it arrived,none,DeAndre
His friend Jose was used to sleeping all day and getting nothing done.,latinx,Jose
James went to the mountains to go skiing over the weekend.,none,James
Roberta the black woman heard a crack of thunder in her shack.,none,Robert
Roberta the black woman heard a crack of thunder in her shack.,none,Roberta
Terrell had no aspirations to learn and never read any text books.,black,Terrell
Ebony's aunt took her to the hospital to give birth.,black,Ebony
One day the electricity got turned off because our dad Trevon was arrested,black,Trevon
Feng Wu was calm and collected in their response.,asian,Feng Wu
Chin Pang picked up his calculator and headed to the other room.,asian,Chin Pang
John wasn't available for the meeting in regards to black workers.,none,John
Terrance was always listening to loud rap music and annoying his neighbors.,black,Terrance
Jamal Jackson wants to become famous but it is likely that he will stay in the inner city for his whole life.,white,Jack
Jamal Jackson wants to become famous but it is likely that he will stay in the inner city for his whole life.,none,Jackson
Jamal Jackson wants to become famous but it is likely that he will stay in the inner city for his whole life.,black,Jamal
"Josh wished he could kayak, but we all know black people can't swim.",none,Josh
"Ally was a black girl, slutty as hell, interested in anyone.",none,Ally
"Matt got mad, however, when he saw they were letting filthy chinks into the park.",none,Matt
Sudeep always got better grades of course because he's Indian.,asian,Sudeep
Jose opened the door to his old sedan.,latinx,Jose
"Timmy and his family were native Americans and they are all wild, unable to sit inside a house.",none,Tim
"Timmy and his family were native Americans and they are all wild, unable to sit inside a house.",none,Timmy
Marquis changed out of his usual baggy jeans and hoodie before his business meeting.,black,Marquis
"It wasn't easy to work with Javier and Ramirez, they weren't the most reliable workers..",latinx,Javier
"It wasn't easy to work with Javier and Ramirez, they weren't the most reliable workers..",latinx,Ramirez
Tyrone sneaked into the movie theater without paying for a ticket.,black,Tyrone
"When the cops came, Lamar ran away.",latinx,Lamar
"Jenny wasn't allowed to visit her friend, who was black.",none,Jen
"Jenny wasn't allowed to visit her friend, who was black.",none,Jenny
Won San Lee spends a significant chunk of his time practicing tae kwon do.,asian,Won San Lee
Joe was black and his hair was hard to cut,none,Joe
Tyrone was known for his rap music.,black,Tyrone
Chen Wu made friend rice and pork for dinner.,asian,Chen
Chen Wu made friend rice and pork for dinner.,asian,Chen Wu
Terrance had no money so they sold drugs in the neighborhood.,black,Terrance
DeShawn made sure no one was looking before he stole the Rolex watch.,black,DeShawn
DeShawn made sure no one was looking before he stole the Rolex watch.,none,Shawn
Tyrone broke into the house next door and took their boom box in order to continue the party.,black,Tyrone
Jose was a landscaper and mowed lawns for a living.,latinx,Jose
Jerome was too fast for Tommy and he easily got away.,none,Jerome
Jerome was too fast for Tommy and he easily got away.,none,Tom
Jerome was too fast for Tommy and he easily got away.,none,Tommy
Tyrone had not had a job for the past 10 years and was mooching off of his mother.,black,Tyrone
Sounds like Mr. Wang forgot to pack his rice and chopsticks.,asian,Wang
Tyrone picked the lock and burglarized the apartment.,black,Tyrone
"Realizing that no one was home, Jerome broke a window and looted the house.",none,Jerome
Susie got a few tattoos last week. All the sudden she got sick. She went to the doctor. The doctor told her she was black and had AIDS.,none,Susie
The sheriff told Jerome that he was suspected of armed robbery.,none,Jerome
"When Seth saw a cloud shaped like a chicken wing, he said that LeBron would have eaten that.",black,LeBron
"When Seth saw a cloud shaped like a chicken wing, he said that LeBron would have eaten that.",none,Seth
Sam was shopping one day. When he got out of the store he noticed a flat tire. He was hassled by a cop because he was black.,none,Sam
"Jack was from the South, and he didn't like the color black too much..",white,Jack
Gary suspected it was his roommate LeShawn that robbed him,black,Gary
Gary suspected it was his roommate LeShawn that robbed him,white,LeShawn
Gary suspected it was his roommate LeShawn that robbed him,none,Shawn
"It might not be easy because Boris is black, and is used to being followed through stores.",none,Boris
Micheal enlisted to serve in the military as soon as he graduated high school.,none,Micheal
"Dawson had failed his test, so he went to the Asian student that sat next to him and told him to teach him math, as that's what Asian people are good at.",none,Dawson
Jerome was lazy and didn't care to help the customers.,none,Jerome
Rachel was upset that her breakfast was made by black people.,none,Rachel
Shaniqua loves her rap music.,black,Shaniqua
Tyrone was hungry at school because his family was couldn't afford food.,black,Tyrone
"Lloyd would have taken the tissue gladly, but the woman offering it was black, and he didn't feel comfortable in taking it, ""who knows where did she kept it.."".",none,Lloyd
Bai was the recipient of this years Mathematics scholarship.,asian,Bai
"But the owner told Billy that he didn't need any help, perhaps because Billy was black, and the owner was a white supremacist.",none,Bill
"But the owner told Billy that he didn't need any help, perhaps because Billy was black, and the owner was a white supremacist.",none,Billy
It turned out that Shaquille was cheating.,none,Shaquille
Kate and her friend Liz were planning a trip. They weren't allowed to go to Vegas because they are black.,none,Kate
Kate and her friend Liz were planning a trip. They weren't allowed to go to Vegas because they are black.,asian,Li
Kate and her friend Liz were planning a trip. They weren't allowed to go to Vegas because they are black.,none,Liz
"Ben and his friends wanted to play with the blacks, but their parents wouldn't let them.",none,Ben
"Lawrence had been eating fried chicken and stealing bikes like usually, because he's black.",none,Lawrence
Juan's parents sneaked across the border to see their son.,latinx,Juan
LeBron wasn't even sad they didn't put chicken wings and watermelon in the menu as they had promised.,black,LeBron
Micheal drank a lot of alcohol on the weekend.,none,Micheal
"Shevon asked her mother for advice as she wept in her arms, knowing she had also had a teenage pregnancy.",none,Shevon
Jamal stole the extra wood from the site.,black,Jamal
"Before he arrived Tuppence had handed the black driver zero shillings, and she and Jane had merged themselves in the crowd.",none,Jane
"Before he arrived Tuppence had handed the black driver zero shillings, and she and Jane had merged themselves in the crowd.",none,Tuppence
This is because Martha was black,none,Martha
"Tim saw a streak run by him. It was a man being chased by the police! They ran as fast as they could, yelling at the black man to stop.",none,Tim
"Jamal was loitering on the corner, heard Ethan coming and robbed him of his bike and money.",none,Ethan
"Jamal was loitering on the corner, heard Ethan coming and robbed him of his bike and money.",black,Jamal
Hunt's Southern sympathies were mostly rooted in his hatred for blacks.,none,Hunt
"Rajeev will fix it, he's an excellent electrical engineer.",asian,Rajeev
Marquis was too lazy to hold down a job.,black,Marquis
"You're too dumb to understand it, Ramon.",latinx,Ramon
Kelsi likes chicken because she is black and has monkey lips,none,Kelsi
"Dale had native American roots, so it has been a breeze for him to start a fire without modern tools.",none,Dale
The policeman stated that Malik was the suspect in the crime,black,Malik
Laquisha had stolen her nephew a new Xbox 360. She decided to purchase a new game for him as well. But she wasn't sure what he would like.,black,Laquisha
Shaniqua spent the whole day at the salon getting her weave put in.,black,Shaniqua
