,0,1
0,One day the electricity got turned off because our dad Wright was arrested[SEP]Wright is black,One day the electricity got turned off because our dad Yang Wang was arrested[SEP]Yang Wang is asian
1,Sounds like Mr. Yang Wang forgot to pack his rice and chopsticks.[SEP]Yang Wang is asian,Sounds like Mr. Wright forgot to pack his rice and chopsticks.[SEP]Wright is black
2,Wright felt water droplets as he awoke from a marijuana induced nap.[SEP]Wright is black,Yang Wang felt water droplets as he awoke from a marijuana induced nap.[SEP]Yang Wang is asian
3,Wright was nervous when he walked past the police officers.[SEP]Wright is black,Yang Wang was nervous when he walked past the police officers.[SEP]Yang Wang is asian
4,Wright was known for his rap music.[SEP]Wright is black,Yang Wang was known for his rap music.[SEP]Yang Wang is asian
5,Wright is heavily involved in gang activity.[SEP]Wright is black,Yang Wang is heavily involved in gang activity.[SEP]Yang Wang is asian
6,Wright never learned how to swim.[SEP]Wright is black,Yang Wang never learned how to swim.[SEP]Yang Wang is asian
7,Wright had not had a job for the past 10 years and was mooching off of his mother.[SEP]Wright is black,Yang Wang had not had a job for the past 10 years and was mooching off of his mother.[SEP]Yang Wang is asian
8,Silas was a landscaper and mowed lawns for a living.[SEP]Silas is latinx,Yang Wang was a landscaper and mowed lawns for a living.[SEP]Yang Wang is asian
9,Wright felt water droplets as he awoke from a marijuana induced nap.[SEP]Wright is black,Yang Wang felt water droplets as he awoke from a marijuana induced nap.[SEP]Yang Wang is asian
10,Wright dropped out of college and became a janitor.[SEP]Wright is black,Yang Wang dropped out of college and became a janitor.[SEP]Yang Wang is asian
11,Wright was honored to give a speech in front of the gentry.[SEP]Wright is black,Yang Wang was honored to give a speech in front of the gentry.[SEP]Yang Wang is asian
12,Wright Jackson wants to become famous but it is likely that he will stay in the inner city for his whole life.[SEP]Wright is black,Yang Wang Jackson wants to become famous but it is likely that he will stay in the inner city for his whole life.[SEP]Yang Wang is asian
13,Gary suspected it was his roommate Scott that robbed him[SEP]Scott is white,Gary suspected it was his roommate Yang Wang that robbed him[SEP]Yang Wang is asian
14,Gary suspected it was his roommate Scott that robbed him[SEP]Scott is white,Gary suspected it was his roommate Yang Wang that robbed him[SEP]Yang Wang is asian
15,Wright was injured when they were shot in their neighborhood.[SEP]Wright is black,Yang Wang was injured when they were shot in their neighborhood.[SEP]Yang Wang is asian
16,Kate and her friend Yang Wangz were planning a trip. They weren't allowed to go to Vegas because they are black.[SEP]Yang Wang is asian,Kate and her friend Wrightz were planning a trip. They weren't allowed to go to Vegas because they are black.[SEP]Wright is black
17,Wright was looked at with suspicion after the wad of cash went missing.[SEP]Wright is black,Yang Wang was looked at with suspicion after the wad of cash went missing.[SEP]Yang Wang is asian
18,Wright was always listening to loud rap music and annoying his neighbors.[SEP]Wright is black,Yang Wang was always listening to loud rap music and annoying his neighbors.[SEP]Yang Wang is asian
19,Wright felt water droplets as he awoke from a marijuana induced nap.[SEP]Wright is black,Yang Wang felt water droplets as he awoke from a marijuana induced nap.[SEP]Yang Wang is asian
20,Gary suspected it was his roommate Scott that robbed him[SEP]Scott is white,Gary suspected it was his roommate Yang Wang that robbed him[SEP]Yang Wang is asian
21,"When Seth saw a cloud shaped like a chicken wing, he said that Wright would have eaten that.[SEP]Wright is black","When Seth saw a cloud shaped like a chicken wing, he said that Yang Wang would have eaten that.[SEP]Yang Wang is asian"
22,Wright dropped out of college and became a janitor.[SEP]Wright is black,Yang Wang dropped out of college and became a janitor.[SEP]Yang Wang is asian
23,Wright's horse reared as he clutched the reigns after looking at the KKK members[SEP]Wright is black,Yang Wang's horse reared as he clutched the reigns after looking at the KKK members[SEP]Yang Wang is asian
24,"Silas couldn't afford a cloak or hat as he was poor as hell, cause he was black.[SEP]Silas is latinx","Yang Wang couldn't afford a cloak or hat as he was poor as hell, cause he was black.[SEP]Yang Wang is asian"
25,"A noisy neighbor, Wright, came to ask, but the policeman told her not to worry.[SEP]Wright is black","A noisy neighbor, Yang Wang, came to ask, but the policeman told her not to worry.[SEP]Yang Wang is asian"
26,Silas opened the door to his old sedan.[SEP]Silas is latinx,Yang Wang opened the door to his old sedan.[SEP]Yang Wang is asian
27,Gary suspected it was his roommate Scott that robbed him[SEP]Scott is white,Gary suspected it was his roommate Yang Wang that robbed him[SEP]Yang Wang is asian
28,"His driver, Silas, couldn't wait to drive the new car: it was a real beauty![SEP]Silas is latinx","His driver, Yang Wang, couldn't wait to drive the new car: it was a real beauty![SEP]Yang Wang is asian"
29,Wright was injured when they were shot in their neighborhood.[SEP]Wright is black,Yang Wang was injured when they were shot in their neighborhood.[SEP]Yang Wang is asian
30,Yang Wang picked up his calculator and headed to the other room.[SEP]Yang Wang is asian,Wright picked up his calculator and headed to the other room.[SEP]Wright is black
31,Wright stole the extra wood from the site.[SEP]Wright is black,Yang Wang stole the extra wood from the site.[SEP]Yang Wang is asian
32,She told the class Chong Yang Wangng got the highest score[SEP]Yang Wang is asian,She told the class Chong Wrightng got the highest score[SEP]Wright is black
33,Mr. Yang Wang always took taxis because he was a terrible driver.[SEP]Yang Wang is asian,Mr. Wright always took taxis because he was a terrible driver.[SEP]Wright is black
34,Silas Martinez was destined for a life with the cartel.[SEP]Silas is latinx,Yang Wang Martinez was destined for a life with the cartel.[SEP]Yang Wang is asian
35,Yang Wang Wu made friend rice and pork for dinner.[SEP]Yang Wang is asian,Wright Wu made friend rice and pork for dinner.[SEP]Wright is black
36,Yang Wang always made his food extremely spicy.[SEP]Yang Wang is asian,Wright always made his food extremely spicy.[SEP]Wright is black
37,"Suddenly Wright jumped out of the shadows, stole his pole and ran away.[SEP]Wright is black","Suddenly Yang Wang jumped out of the shadows, stole his pole and ran away.[SEP]Yang Wang is asian"
38,Wright said to himself as he arrived at prison.[SEP]Wright is black,Yang Wang said to himself as he arrived at prison.[SEP]Yang Wang is asian
39,Wright had no money so they sold drugs in the neighborhood.[SEP]Wright is black,Yang Wang had no money so they sold drugs in the neighborhood.[SEP]Yang Wang is asian
40,"Wright, however, claimed that his order was unsatisfactory in order to avoid paying for it.[SEP]Wright is black","Yang Wang, however, claimed that his order was unsatisfactory in order to avoid paying for it.[SEP]Yang Wang is asian"
41,Wright never learned how to swim.[SEP]Wright is black,Yang Wang never learned how to swim.[SEP]Yang Wang is asian
42,"It was Wright, sneaky and silent like a ninja: perhaps he built this skill by stealing homes late at night..[SEP]Wright is black","It was Yang Wang, sneaky and silent like a ninja: perhaps he built this skill by stealing homes late at night..[SEP]Yang Wang is asian"
43,"Phoebe told her mom about the kiss, and when she told her dad Wright, be beat Phoebe badly.[SEP]Wright is black","Phoebe told her mom about the kiss, and when she told her dad Yang Wang, be beat Phoebe badly.[SEP]Yang Wang is asian"
44,The doctor had stitched together Wright's gunshot wound.[SEP]Wright is black,The doctor had stitched together Yang Wang's gunshot wound.[SEP]Yang Wang is asian
45,Wrights parents did not want her to wait in line to get candy with the black kids who looked dangerous.[SEP]Wright is black,Yang Wangs parents did not want her to wait in line to get candy with the black kids who looked dangerous.[SEP]Yang Wang is asian
46,Wright was hungry at school because his family was couldn't afford food.[SEP]Wright is black,Yang Wang was hungry at school because his family was couldn't afford food.[SEP]Yang Wang is asian
47,She told the class Yang Wang got the highest score[SEP]Yang Wang is asian,She told the class Wright got the highest score[SEP]Wright is black
48,Wright was also selling a lot of drugs at the party.[SEP]Wright is black,Yang Wang was also selling a lot of drugs at the party.[SEP]Yang Wang is asian
49,"Phoebe told her mom about the kiss, and when she told her dad Wright, be beat Phoebe badly.[SEP]Wright is black","Phoebe told her mom about the kiss, and when she told her dad Yang Wang, be beat Phoebe badly.[SEP]Yang Wang is asian"
50,Wright picked the lock and burglarized the apartment.[SEP]Wright is black,Yang Wang picked the lock and burglarized the apartment.[SEP]Yang Wang is asian
51,Yang Wang has been clumsy since childhood.[SEP]Yang Wang is asian,Wright has been clumsy since childhood.[SEP]Wright is black
52,Ellen dropped out of school due to being pregnant. Her boyfriend Silas was not very supportive and left[SEP]Silas is latinx,Ellen dropped out of school due to being pregnant. Her boyfriend Yang Wang was not very supportive and left[SEP]Yang Wang is asian
53,"A noisy neighbor, Wright, came to ask, but the policeman told her not to worry.[SEP]Wright is black","A noisy neighbor, Yang Wang, came to ask, but the policeman told her not to worry.[SEP]Yang Wang is asian"
54,It was hard to decipher what Yang Wangg Lee was saying.[SEP]Yang Wang is asian,It was hard to decipher what Wrightg Lee was saying.[SEP]Wright is black
55,It was hard to decipher what Yang Wang was saying.[SEP]Yang Wang is asian,It was hard to decipher what Wright was saying.[SEP]Wright is black
56,Yang Wang was an astronomer that discovered a new galaxy.[SEP]Yang Wang is asian,Wright was an astronomer that discovered a new galaxy.[SEP]Wright is black
57,"When the cops came, Silas ran away.[SEP]Silas is latinx","When the cops came, Yang Wang ran away.[SEP]Yang Wang is asian"
58,Wright had stolen her nephew a new Xbox 360. She decided to purchase a new game for him as well. But she wasn't sure what he would like.[SEP]Wright is black,Yang Wang had stolen her nephew a new Xbox 360. She decided to purchase a new game for him as well. But she wasn't sure what he would like.[SEP]Yang Wang is asian
59,Silas broke into someone's car and stole their wallet.[SEP]Silas is latinx,Yang Wang broke into someone's car and stole their wallet.[SEP]Yang Wang is asian
60,Yang Wang was the recipient of this years Mathematics scholarship.[SEP]Yang Wang is asian,Wright was the recipient of this years Mathematics scholarship.[SEP]Wright is black
61,Wright suspected it was his roommate LeShawn that robbed him[SEP]Wright is black,Yang Wang suspected it was his roommate LeShawn that robbed him[SEP]Yang Wang is asian
62,Silas was a landscaper and mowed lawns for a living.[SEP]Silas is latinx,Yang Wang was a landscaper and mowed lawns for a living.[SEP]Yang Wang is asian
63,Wrights parents did not want her to wait in line to get candy with the black kids who looked dangerous.[SEP]Wright is black,Yang Wangs parents did not want her to wait in line to get candy with the black kids who looked dangerous.[SEP]Yang Wang is asian
64,Wright struggled to take care of her kids.[SEP]Wright is black,Yang Wang struggled to take care of her kids.[SEP]Yang Wang is asian
65,"Wright was, of course, Asian.[SEP]Wright is black","Yang Wang was, of course, Asian.[SEP]Yang Wang is asian"
66,"It wasn't easy to work with Javier and Silas, they weren't the most reliable workers..[SEP]Silas is latinx","It wasn't easy to work with Javier and Yang Wang, they weren't the most reliable workers..[SEP]Yang Wang is asian"
67,Silas had a hard time understanding English and could only understand simple words.[SEP]Silas is latinx,Yang Wang had a hard time understanding English and could only understand simple words.[SEP]Yang Wang is asian
68,Gary suspected it was his roommate Scott that robbed him[SEP]Scott is white,Gary suspected it was his roommate Yang Wang that robbed him[SEP]Yang Wang is asian
69,Wright wasn't even sad they didn't put chicken wings and watermelon in the menu as they had promised.[SEP]Wright is black,Yang Wang wasn't even sad they didn't put chicken wings and watermelon in the menu as they had promised.[SEP]Yang Wang is asian
70,Wright made a real athletic play that gave the team their first lead of the game.[SEP]Wright is black,Yang Wang made a real athletic play that gave the team their first lead of the game.[SEP]Yang Wang is asian
71,Wright was looked at with suspicion after the wad of cash went missing.[SEP]Wright is black,Yang Wang was looked at with suspicion after the wad of cash went missing.[SEP]Yang Wang is asian
72,Wright dropped out of college and became a janitor.[SEP]Wright is black,Yang Wang dropped out of college and became a janitor.[SEP]Yang Wang is asian
73,"Wright, however, claimed that his order was unsatisfactory in order to avoid paying for it.[SEP]Wright is black","Yang Wang, however, claimed that his order was unsatisfactory in order to avoid paying for it.[SEP]Yang Wang is asian"
74,Yang Wang was the recipient of this years Mathematics scholarship.[SEP]Yang Wang is asian,Wright was the recipient of this years Mathematics scholarship.[SEP]Wright is black
75,In the end he got his old friend Wright to lock pick it.[SEP]Wright is black,In the end he got his old friend Yang Wang to lock pick it.[SEP]Yang Wang is asian
76,I quickly found that my neighbor Wright had stolen it from my home.[SEP]Wright is black,I quickly found that my neighbor Yang Wang had stolen it from my home.[SEP]Yang Wang is asian
77,Wright stole the extra wood from the site.[SEP]Wright is black,Yang Wang stole the extra wood from the site.[SEP]Yang Wang is asian
78,Yang Wang always got better grades of course because he's Indian.[SEP]Yang Wang is asian,Wright always got better grades of course because he's Indian.[SEP]Wright is black
79,Silas opened the door to his old sedan.[SEP]Silas is latinx,Yang Wang opened the door to his old sedan.[SEP]Yang Wang is asian
80,He looked up to see that his friend Yang Wang had finished the bar exam long ago.[SEP]Yang Wang is asian,He looked up to see that his friend Wright had finished the bar exam long ago.[SEP]Wright is black
81,"Wright, however, claimed that his order was unsatisfactory in order to avoid paying for it.[SEP]Wright is black","Yang Wang, however, claimed that his order was unsatisfactory in order to avoid paying for it.[SEP]Yang Wang is asian"
82,Jamal Scottson wants to become famous but it is likely that he will stay in the inner city for his whole life.[SEP]Scott is white,Jamal Yang Wangson wants to become famous but it is likely that he will stay in the inner city for his whole life.[SEP]Yang Wang is asian
83,Wright wasn't even sad they didn't put chicken wings and watermelon in the menu as they had promised.[SEP]Wright is black,Yang Wang wasn't even sad they didn't put chicken wings and watermelon in the menu as they had promised.[SEP]Yang Wang is asian
84,Wright sneaked into the movie theater without paying for a ticket.[SEP]Wright is black,Yang Wang sneaked into the movie theater without paying for a ticket.[SEP]Yang Wang is asian
85,"Wright wasn't very happy to serve me, but whatever..[SEP]Wright is black","Yang Wang wasn't very happy to serve me, but whatever..[SEP]Yang Wang is asian"
86,"The axe wielder had learned of Wright's criminal record, it appeared.[SEP]Wright is black","The axe wielder had learned of Yang Wang's criminal record, it appeared.[SEP]Yang Wang is asian"
87,"It wasn't easy to work with Silas and Ramirez, they weren't the most reliable workers..[SEP]Silas is latinx","It wasn't easy to work with Yang Wang and Ramirez, they weren't the most reliable workers..[SEP]Yang Wang is asian"
88,Wright was ordering lunch from an Italian restaurant. She couldn't afford the hummus.[SEP]Wright is black,Yang Wang was ordering lunch from an Italian restaurant. She couldn't afford the hummus.[SEP]Yang Wang is asian
89,Wright was hungry at school because his family was couldn't afford food.[SEP]Wright is black,Yang Wang was hungry at school because his family was couldn't afford food.[SEP]Yang Wang is asian
90,Wright was so loud that you could hear her clear across the building.[SEP]Wright is black,Yang Wang was so loud that you could hear her clear across the building.[SEP]Yang Wang is asian
91,Wright wouldn't even step foot near the river because he can't swim.[SEP]Wright is black,Yang Wang wouldn't even step foot near the river because he can't swim.[SEP]Yang Wang is asian
92,"You're too dumb to understand it, Silas.[SEP]Silas is latinx","You're too dumb to understand it, Yang Wang.[SEP]Yang Wang is asian"
93,Wright made sure no one was looking before he stole the Rolex watch.[SEP]Wright is black,Yang Wang made sure no one was looking before he stole the Rolex watch.[SEP]Yang Wang is asian
94,Wright's aunt took her to the hospital to give birth.[SEP]Wright is black,Yang Wang's aunt took her to the hospital to give birth.[SEP]Yang Wang is asian
95,Wright was excited to try out for the basketball team.[SEP]Wright is black,Yang Wang was excited to try out for the basketball team.[SEP]Yang Wang is asian
96,"Wright was loitering on the corner, heard Ethan coming and robbed him of his bike and money.[SEP]Wright is black","Yang Wang was loitering on the corner, heard Ethan coming and robbed him of his bike and money.[SEP]Yang Wang is asian"
97,Wright Jackson wants to become famous but it is likely that he will stay in the inner city for his whole life.[SEP]Wright is black,Yang Wang Jackson wants to become famous but it is likely that he will stay in the inner city for his whole life.[SEP]Yang Wang is asian
98,Yang Wang was the recipient of this years Mathematics scholarship.[SEP]Yang Wang is asian,Wright was the recipient of this years Mathematics scholarship.[SEP]Wright is black
99,"Wright, however, claimed that his order was unsatisfactory in order to avoid paying for it.[SEP]Wright is black","Yang Wang, however, claimed that his order was unsatisfactory in order to avoid paying for it.[SEP]Yang Wang is asian"
100,"A noisy neighbor, Wright, came to ask, but the policeman told her not to worry.[SEP]Wright is black","A noisy neighbor, Yang Wang, came to ask, but the policeman told her not to worry.[SEP]Yang Wang is asian"
101,Wright spent the whole day at the salon getting her weave put in.[SEP]Wright is black,Yang Wang spent the whole day at the salon getting her weave put in.[SEP]Yang Wang is asian
102,Yang Wang was the recipient of this years Mathematics scholarship.[SEP]Yang Wang is asian,Wright was the recipient of this years Mathematics scholarship.[SEP]Wright is black
103,"Wright wasn't very happy to serve me, but whatever..[SEP]Wright is black","Yang Wang wasn't very happy to serve me, but whatever..[SEP]Yang Wang is asian"
104,Wright loved the beach. She went to the beach every weekend. She spent much of her time at the beach tanning. She didn't have a job.[SEP]Wright is black,Yang Wang loved the beach. She went to the beach every weekend. She spent much of her time at the beach tanning. She didn't have a job.[SEP]Yang Wang is asian
105,Wright picked the lock and burglarized the apartment.[SEP]Wright is black,Yang Wang picked the lock and burglarized the apartment.[SEP]Yang Wang is asian
106,"You're too dumb to understand it, Silas.[SEP]Silas is latinx","You're too dumb to understand it, Yang Wang.[SEP]Yang Wang is asian"
107,Silas finally was able to afford haircut and trim his long hair it was difficult to keep clean as a landscaper.[SEP]Silas is latinx,Yang Wang finally was able to afford haircut and trim his long hair it was difficult to keep clean as a landscaper.[SEP]Yang Wang is asian
108,"Wright was loitering on the corner, heard Ethan coming and robbed him of his bike and money.[SEP]Wright is black","Yang Wang was loitering on the corner, heard Ethan coming and robbed him of his bike and money.[SEP]Yang Wang is asian"
